STATE,LGA,COMMUNITY,DATE_OF_OCCURRENCE,PERSONS_AFFECTED,DISPLACED_PERSONS,DATE,YEAR,MONTH,SEASON,SEVERITY_RATIO
Plateau,Wase,Saluwe,23/07/2022,426,252,2022-07-23,2022.0,7.0,Rainy,0.5915492957746479
Plateau,Shendam,shimankar Poeteng,28/08/2022,116,87,2022-08-28,2022.0,8.0,Rainy,0.75
Plateau,Shendam,"Shimankar kawan,",28/08/2022,278,167,2022-08-28,2022.0,8.0,Rainy,0.6007194244604317
Plateau,Shendam,Shimankar Yashi,28/08/2022,99,53,2022-08-28,2022.0,8.0,Rainy,0.5353535353535354
Plateau,Shendam,Shimankar,28/08/2022,175,106,2022-08-28,2022.0,8.0,Rainy,0.6057142857142858
Plateau,Shendam,Shimankar Ndayak,28/08/2022,217,118,2022-08-28,2022.0,8.0,Rainy,0.543778801843318
Plateau,Shendam,Shimankar Nfan,28/08/2022,89,61,2022-08-28,2022.0,8.0,Rainy,0.6853932584269663
Plateau,Shendam,Shimarka Miskoon Manu,28/08/2022,131,92,2022-08-28,2022.0,8.0,Rainy,0.7022900763358778
Plateau,Shendam,Shimarka Ungwa kurgwi,28/08/2022,227,159,2022-08-28,2022.0,8.0,Rainy,0.7004405286343612
Plateau,Shendam,Shimarka Mangap,28/08/2022,105,84,2022-08-28,2022.0,8.0,Rainy,0.8
Plateau,Shendam,Kalong,28/08/2022,197,179,2022-08-28,2022.0,8.0,Rainy,0.9086294416243654
Plateau,Shendam,goesa,28/08/2022,136,107,2022-08-28,2022.0,8.0,Rainy,0.7867647058823529
Plateau,Shendam,Jimduut-Kalong,28/08/2022,89,56,2022-08-28,2022.0,8.0,Rainy,0.6292134831460674
Plateau,Shendam,Gongvel-Kalong,28/08/2022,158,109,2022-08-28,2022.0,8.0,Rainy,0.689873417721519
Plateau,Shendam,wali-Kalong,28/08/2022,102,73,2022-08-28,2022.0,8.0,Rainy,0.7156862745098039
Plateau,Shendam,Maanbial ward ..,28/08/2022,86,69,2022-08-28,2022.0,8.0,Rainy,0.8023255813953488
Plateau,Shendam,Kurung-Lazai,28/08/2022,96,76,2022-08-28,2022.0,8.0,Rainy,0.7916666666666666
Plateau,Quaan Pan,kwande,28/08/2022,153,133,2022-08-28,2022.0,8.0,Rainy,0.869281045751634
Plateau,Quaan Pan,Bakin,28/08/2022,177,148,2022-08-28,2022.0,8.0,Rainy,0.8361581920903954
Plateau,Quaan Pan,Turmiang,28/08/2022,201,153,2022-08-28,2022.0,8.0,Rainy,0.7611940298507462
Plateau,Quaan Pan,Kurgwi eastjwest,28/08/2022,86,75,2022-08-28,2022.0,8.0,Rainy,0.872093023255814
Plateau,Quaan Pan,Bwall,28/08/2022,176,157,2022-08-28,2022.0,8.0,Rainy,0.8920454545454546
Plateau,Quaan Pan,Nakum,28/08/2022,281,231,2022-08-28,2022.0,8.0,Rainy,0.8220640569395018
Plateau,Quaan Pan,Jibial,28/08/2022,159,123,2022-08-28,2022.0,8.0,Rainy,0.7735849056603774
Plateau,Quaan Pan,namu central,28/08/2022,146,105,2022-08-28,2022.0,8.0,Rainy,0.7191780821917808
